Tweets;Hatespeech
ich habe mal eine Frage an euch. Seit Wochen gibt es nur ein Thema Corona. Man kann es echt nicht mehr hören. Keine Angst ich gehöre nicht zu diesen Querdenker. Ich glaube an den Virus und an die Impfung. Auf was ich mich eigentlich beziehen möchte. In vier Wochen haben wir so wie es aussieht einen harten Brexit und darüber verliert keiner ein Wort. Es wäre einfach schön zur Ablenkung mal ein anderes Thema in den Medien zu hören als Corona. Und der Brexit geht uns alle an.;1
Ich bin kein Anhänger der Linken, nur die Frau hat nicht vom normalen Vermieter gesprochen, sondern von den Grossinvestoren.;0
Für mich ist das Unwort des Jahres „ Schutzsuchende“. Schmierige Heuchelei - fernab von jeder Realität, aber millionenfach von naiven Gutmenschen und den Propaganda-Medien rausposaunt!;1
Nazis sind zu dumm um Satire zu verstehen.Die nehmen es für bahre Münzen und lassen Taten folgen und dann sterben Menschen.Der Dreck muss weg.#Pegidioten;1
Der ganzer Dreck muss weg hier je schneller desto besser unsere Sicherheit;1
Müssen Sie in einer Demokratie ja nicht wählen.;0
Und wie soll man diesen Polizisten identifizieren, wenn alle unkenntlich dort ihr Unwesen treiben? Keine persönliche Nummer, keinen Namen, maximal maskiert...;0
"Petra Grammersbach Ah ja. Es steben ca. 150.000 Menschen mehr als hier geboren werden. Seit 2015 sind über 1.000.000 Menschen gekommen und es kommen jedes Jahr noch ca. 200.000 hinzu. Diese über 1 Millionen brauchen Wohnungen, genauso wie der Überschuß an Zuwanderung. Um leistungsfähig zu bleiben (was m.M. auch ohen Zuwanderung geht) brachen wir keine Bildungsfernen aus Afrika, dem Nahen Osten.. Das sind aber die, die hier hin kommen. Die in ihren ländern was geworden sidn bleiben dort, hier kommen nur die ""Looser"" hin. Wenn wir was braucehn ist es Qualität, nicht Quantität. Daher ist der Einwand ""Flüchtlinge"" vollkommen berechtigt.";0
Ach, da geht nun unser zuweilen ähnlicher Humor auseinander.Ich würde ja nicht mal Ekelpakete wie die AfD pauschal als Abschaumpartei bezeichnen.Entmenschlicht irgendwie, auch wenn ich weiß, dass Sie es so nicht gemeint haben.Also kein Vorwurf, ist mir nur bissl too much...;0
Bodensatz? Träum weiter du Clown;0
Klar. Klischee erfüllt. Keine Argumente geht man erst auf die Orthographie los, und wenn das nicht zieht, versucht man es mit dem Namen.Ist zwar nicht sonderlich clever wenn man selbst , ähm...einen solchen Namen benutzt, aber so seid ihr nunmal#Namensfaschist;0
Die Grünen scheren noch mehr Hass, durch ihre unehrliche Politik und ihre studentischen Wähler, welche gar nicht wissen, was es heißt Familien zu ernähren und ihre freundliche Art alle Ausländer auf unsere Steuergelder einzuladen ❣️;1
ladet Opfer linker Gewalt ein ist besser;1
ist zum fremdschämen. Wer eine solche Aussage über veröffentlicht, tritt das letzte bisschen Würde, das man bei einem #MdB erwarten darf, in die Tonne! |LBR| #AfD = Alles für Dreck;1
Wie mit bitte? Das kann ja wohl nicht wahr sein, oder? Adolf und Abschaum lassen grüßen. ????????;0
1708 100 Gegendemonstrant_innen warten vor Gesa und fordern d. Freilassung d. Genoss_innen. Kommt dort hin u bringt Tee u. Essen mit #ac1312;0
"Miss Baltimore für alle wieder. Vater 3x Bürgermeister und damit Präger von Platz 2 der Shitholetowns von Amerika. Also das Berlin o. Frankfurt von Amerika – je nachdem wo man lebt. Schaut sie euch genau an. Die sind es die Städte &amp; Länder zerstören. 😀👍  https://t.co/vcEC2H3Kjj";0
Daß Kobalt schon seit vielen Jahrzehnten benutzt wird um in Raffinerien den Kraftstoff für Dieselautos zu entschwefeln, hat seltsamerweise noch nie einen der demagogischen Heuchler interessiertGegen Kinderarbeit braucht es ein striktes Lieferkettengesetz#FridaysForFuture;1
die von Südspanien und Türkei sind die Deutschen die dort ihr Zweitwohnung haben und dann fliehen...;0
sie die Altparteien wollen es nicht verstehen, wenn du von keine der parteien vertreten wirst und immer nur dumme versprechungen machst...gehst du nicht mehr wählen oder AfD! Diese ganzen Diskussionen lenken nur ab....;0
Unsinn.;0
Nur die AfD ficken wir nicht, weil kein Sex mit Nazis!;1
Weniger Kinder für mehr Industrie und ungehinderte Energieressourcen und Mobilität anderer?;0
Leute, die sich beim Impfen vordrängeln sind in etwa so scheisse wie die Wichser auf den Covidioten-Demos. Möglicherweise sogar die gleichen Leute. Fickt euch sehr hart, ihr niederträchtigen Egomanen. #Impfung #Impfpriorisierung #vordraengler #nazisraus #noafd #COVIDIOT;1
Wie genau willst du das machen? Wenn du ihn erschießt kannst du die Flugrichtung überhaupt gar nicht mehr kontrollieren ???????;0
RAF vergessen ?;1
Jo, klappt ja bestens gerade, die Beteiligung der Nicht- Regierungsparteien/ Parlamente.🤣🤣🤣🤣;1
Warum hängt Japan so sehr an seinem Massenmörder USA ?;1
Junge IB Faschos machen mich so fucking wütend junge die Scheiße ist so manipulative nazi scheiße FICKT EUCH;1
Warum das wohlfeiles, vollkommen hohles Geschwätz ist? Das #ParisAgreement mit 1,5°/2°-Ziel ist seit knapp fünf Jahren Bundesgesetz (!). Und die #CDU und #Laschet haben sich einen Dreck darum geschert. Aber jetzt ist ja Wahlkampf. Auf zum Dummenfang. #Klimakatastrophe https://t.co/Yy8Rhr0P0a;0
Gib es doch zu! Du bist ein DB/Post-bot! |LBR| 1!11!!<U+0001F609><U+0001F609><U+0001F92A><U+0001F602><U+0001F923>;0
Hilfe Sozialismus! Ich habe Angst, bitte kämpft für den freien Weltmarkt! Schützt unser amerikanisiertes Deutschland! Ein verwestlichtes Europa ist voll patriotisch alternativ!;0
Kubicki?!;0
Ich glaube, das waren keine Elektriker per se. Es war eine Spedition, die für Bauknecht liefert und einbaut. Keine Ahnung.... Ich hänge bei Bauknecht in der Hotline.;0
Och das kann ich dir gerne ins Gesicht sagen. Links zu sein bedeutet intelligent zu sein also keine Beleidigung. Außerdem schreibt man in diesem Fall „, dass“ also nehme ich an Sie sind bildungsfern daher auch die Symphatie für die AfD;1
Trolle...;1
sehr kompliziert das System da stirbt man inzwischen...;0
Abschiebungen: Polizisten wegen Hausfriedensbruch angezeigt!  „Betreten von Wohnungen durch #Polizei bei Abschiebungen soll nicht gegen den Willen der jeweiligen Bewohnenden erfolgen', laut #SPD.  Irre, oder? :)  https://t.co/YHI8Arv5Gk;0
Ich weiß, dass ich mich bei diesem Thema wie ein Arschloch verhalte, beharre aber, wider besseren Wissens, darauf, dass mich die dt. Sprache diskriminiert. Der sogenannte öffentlich-rechtliche Rundfunk unterstützt diese schwachsinnige Ideologie des Gendern.#Merz;0
#Bundesnotlüge 1. Mai Linksextreme zerlegen ganze Stadtteile, beschmeißen Polizisten mit Steinen und Flaschen, verkloppen Zivil-Polizist, scheißen auf Abstände und #Ausgangssperre  Rainer Wendt fordert daraufhin generelles Verbot für „Querdenken“- Demos???Wer bedroht dich???;0
Glaube nicht mehr an's Überleben des Westens. |LBR| Speziell nicht mehr an Deutschland. |LBR| Nicht mit der mehrheitlich weiblichen Heuchelei. |LBR| Sorry Ladies. Selbst mit den Patriotinnen. |LBR| In Bahnhofskiosken quillt einem der weiblich verlogene Dekadenzdreck massivst entgegen. |LBR| Abstossend.;1
Dummheit fängt schon dort an, wo man glaubt vom Einzelnen auf das Gesamte schließen zu können.;0
Erneut Massaker an Kurdische ZivilistInnen durch islamistische ISIS. YXK ruft bundesweit zu Demonstrationen auf. #Rojava #ISIS #syrien;0
Ein gutes hat es. Aus eigener Expertise kann ich jetzt allerdings sagen, dass die #dokleipzig von aktuellen politischen Debatten und Diskursen keine Ahnung hat und man entsprechend bei Themen, in denen man sich nicht auskennt, die DOK meiden sollte. <U+0001F937><U+0001F3FD><U+200D><U+2640><U+FE0F>;1
Dann könnte man den Wald aber nicht kapitalisch nutzen;0
Bist du von einem anderen Stern, weil du nicht die gravierenden Nebenwirkungen siehst, über die die Medien sprechen?Schau bei EMA selbst nach!;0
ef:'Korruption der Herrscher in Afrika: Der Griff in die Staatskasse: Korruption der Herrscher in Afrika: Der Griff in die Staatskasse https://t.co/tMmNbxFaia ';0
Ab Juli: #Diätenerhöhung für #Bundestagsabgeordnete https://t.co/EfDsc3RBKb via @focusonline;0
Eben. Und so lange das alles nicht klappt, ist #NoCovid die bessere Strategie.Ich habe von dem Honk auch gleich genug... ??;0
ich und mein Fleich/Blut-Pimmel haben KEINE ANGST.;1
"Der Durchschnitts-IQ von Berlin hatte sich letztens auf meinem IQ-„Meter“ fast verdoppelt. Jetzt weiß ich auch warum diese Anomalie aufgetreten ist. #CharlesKrüger &amp; #Hyperion waren in #Berlin.     Das A…loch #Wiltewka, alias #EkelWilfred, #Wilberg &amp; Co.    https://t.co/4R8LIcPBck";1
NEIN!Dem Wald geht es gut...Ja, neeeh...Is klar...https://t.co/lrHq514Osz https://t.co/3ic9ZVMNyK;0
.so zuerst dich und deinen freund behindert gefickt und jetzt sie auch noch ich küss dochn euer herz aber von euch wird jetzt kommen den kindergarten  gebe ich mir nicht mimimi https://t.co/LlPceqnqx2;1
Wenn er unbedingt will ,dann schickt das Arschloch zum Allah;1
Wie viele Straftaten begehen die GW in Deutschland? Wie viele sind davon antisemitisch? Haben Sie dazu Zahlen? Lesen Sie sich das mal durch, da geht’s um den Ausländeranteil. https://t.co/3SlSH3XmJh;0
Osama Bin MDP22!;0
Nein das war nur spass... sorry ...ey kampflos würden meine titten und ich nicht aufgeben. =);1
Bravo! Die Lösch-Stasi hat heute wieder einen harten Job.;1
Die alte hat doch die ganze Welt fast in der Hand ist schlimmer wie der Adolf;1
Hier mal eine sehr gute Darstellung https://youtu.be/cK02Z5bs-9Y;0
Die AfD hat doch nur ein einziges Thema: Biodeutschsein und daraus Eliteableitung konstruieren. Ende. Wie soll sie sich denn bei Themen verhalten, bei denen Nachdenken gefragt ist? Eben! Gar nicht!;1
Kennen wir uns?Ich glaube nicht .Professor,Dr.? Oder einfach nur.. . .....!;0
"Armselig. Versucht sich einige ""prominente "" mit ins Boot zu holen um nicht allein zu sein. In Zeiten wo sie selbst der eigenen Partei auf den Kecks geht , braucht man Verbündete.";1
Robert M. Zoske, der noch im September einen Beitrag für die JF verfasste und zwar zum 100. Geburtstag von Hans Scholl. In diesem Text warf er der Antifa vor, das Scholl-Gedenken zu missbrauchen.;0
+++ #AfD - Zukunft für Europa +++  ℹ️AfD-#Europawahl-Programm, Kapitel 6.5:  ❝#Remigration statt Massenzuwanderung❞  Nicht „#Resettlement”, also Umsiedlungsprogramme nach Europa, sind das Gebot der Stunde, sondern das Gegenteil!  ➡️ https://t.co/JffMwq2TA2 https://t.co/Ltnhhc60IW;0
"Du meinst also,man ist ""fremdenfeindlich"", wenn man kriminelle, oder islamfaschistische Zuwanderer gerne vom Hals haben möchte? Ih würde mit solchen Killerphrasen mal aufhören.Weil auch das zur Eskalation beiträgt.";1
Warum so umwegig? Ausland, 2017 ?Drei Rechte prügeln in 🇩🇪 Homosexuellen zu Tode, ganz aktuell. Und gilt nicht mal als 'rechte Straftat', obwohl die gerade wieder mächtig zunehmen, läuft also.  🇩🇪🙄🇩🇪    https://t.co/N1Ewaatt0w;0
Ja, überall sind Demokratiefeinde am Werk. USA, UK, Portugal, Spanien, Griechenland, Niederlande, Neuseeland,... Lauter kleine merkelsche Freiheitsberauber ??;1
Hallo Herr     Nicht jeder Politiker hat so viel Rubel bekommen, um sich so ein schickes Hemd für den bezahlten Auftritt in Russland zu kaufen...!     Aber bei den Rechtsradikalen lässt man es sich ja recht gern (illegal) spenden, gell..?     #Afd https://t.co/wLFKfiWJl0;0
#allesdichtmachen die fetten Menschen schreien auf, das können die Schauspieler und fetten doch nicht antun, wir wollen weiter gut und viel fressen und auch leben. Skandal, macht diese möchtegerns arbeitslos. Wo ist die Qualitätspresse?;1
#Impfung Die Menschen lassens sich doch nur #zweitimpfung zwangsimpfen, damit sie ihre Freiheiten zurück bekommen.Sie denken wirklich, es geschiet aus Überzeugung gegen das Virus?;0
#Grüne stärkste Kraft in #Berlin. 🤢🤮  Links-Grün ist out. Grün-links ist in.  Noch mehr Verbote. Noch weniger Wirtschaft.  Vielen dank ihr Vollpfosten...  #EUWahl19;1
Zumal sich dat Erika besser mal entschuldigen sollte.;0
"Oh eine wahnsinnig seriöse Quelle.""Was tun mir die so schwachen Männer leid. Na ja, jetzt erleiden Sie das, was die Frauen bisher erleiden mussten."" ??";0
Ach noch was, ihr Blechkamerad hegt  auch so kämpferische Allmachtsfantasien, ist wohl ihrem Verein so eigen. 🤷‍♂️ https://t.co/lZPzrc1WY6;0
Der Deutsche Staat macht sich lächerlich! Ungebildetes, kulturloses Gesindel führt Deutschland vor! Und die Justiz spielt mit.;1
Diese Halbgebildeten bei den Grünen machen ausgezeichnete Arbeit!!! Wir haben den verheerenden Zustand der Demokratie, weil so viele Leute von der Sorte im Parlament sind. Ohne Studien- oder Berufsabschluss, ohne Erfolg und Lebenserfahrung in der Realität, zum Partei-Funktionär!;1
Die spd mit Katarina Barley hat wieder im wesentlichen an den bodenpolitischen Ursachen der Problematik (Wirkung Markt / Staatsversagen..) auf dem Wohnungsmarkt vorbei diskutiert. Wieder einmal sehr entäuschend, von der einst von mir so hoch geschätzten (noch) Frau Bundesministerin.;0
http://juedischerundschau.de/aegyptischer-praesident-sisi-verurteilt-das-selbstgerechte-anspruchsdenken-der-araber-135911300/?fbclid=IwAR1uxVU8O6DJjNX3ZHt0OZHKDDllqLdf8SszCyoUQ07uAsHTBwEOI0F4FvU;0
Wenn man als Querdenker bezeichnet wird ist das eine Auszeichnung. Du hast damit den Bundesverdienst Orden erhalten. Leider darfst du Ihn dir nicht selber verleihen, das müssen andere Menschen die Denker in Schubladen stecken für dich machen....;0
Nichts los? Da spiegelt ja alle aktuellen Umfragen wieder. Die Nazi-Covidiote-AfD verschwindet zum Glück wieder aus Deutschland.....bis auf ein paar halbgebackener Idioten, die sowieso nichts mehr mitbekommen und sogar zum atmen zu blöd sind.;1
Es ist das Land der Juden.Israel war so gnädig und hat den Palästinensern den Gazastreifen überlassen, obwohl Palästina zwei Kriege in Folge verloren haben. Welche Palästina angezettelt hat.;1
.. und die Menschen dann skrupellos mit dem Dreck und Lärm des Militärs alleine lassen. Die Pfälzer waren bei der #LTWRLP dumm genug, diesen Verein schon wieder in die Regierung zu wählen (nicht, dass die besser wäre). Mal sehen, ob sie bei der #BTW21 genau so ticken ...;0
Baerbock ist der Untergang Deutschlands. In 10 Jahren wird Deutschland das Venezuela Europas sein.Baerbock ist - sorry- eine dumme Frau, die als nützlicher Idiot diesen Auftrag erledigen wird. Denn es gibt Kreise, die D zerstören wollen.;0
wann bringen die dich in die Klappse... du Nullnummer!?;1
Im Grunde sind Neo Liberale und Neo Nazis, sowie Neo Konservative, der selbe stinkende Haufen von Versagern die gierig und ignorant irgendwelchen verschobenen Ideoligien nacheifernden und Sie gehören mit Sicherheit dazu.;1
Der Kinderporno-Ring Gründer Christian Maire (40) wurde im Gefängnis zu Tode verurteilt . Super diesmal hat die Justiz funktioniert;1
PCR-Tests keine Grundlage für politische Maßnahmenhttps://t.co/GgliQx4hav;0
Die Armen Israelis, schon komisch das deren Angriffe niemand verurteilt weder Politik noch die Medien aber man ist ja nichts anderes gewöhnt von eurem manipulierten BS.;0
Und solche Gestalten lädt unser Staats-TV immer wieder in Talkshows ein. Eine unglaubliche Zumutung! https://t.co/HcGaGMWOxh;0
womit genau?;0
Die #grünen Spießer bejubeln mit #Baerbock eine ahnungslose #linke Trulla, die  #Politikwissenschaft studiert hat und für diese fiese Kaste sinnbildlich ist, die nichts kann außer Politik. Und diese beherrschen sie nicht praktisch, sondern nur theoretisch. ???????;1
Und ja, das ist ein richtig Brauner – Mit dunkler Hautfarbe. 😀    Merkels Fachkräfte vertreiben echte Fachkräfte  https://t.co/JJYblBoqSm;0
Oscar Wilde sagte „Wer schon nicht denkt, sollte wenigstens hin und wieder seine Vorurteile neu sortieren.“ Ich bin bereit: Die neuen Faschisten heißen Antifa. Der Islam bringt uns das Mittelalter zurück. Früher war mehr Lametta.;1
Uns wurde es eher mit der AfD schlecht. Was euresgleichen von LGBTQ Menschen hält habt ihr ja schon oft genug deutlich gemacht.;0
IM Immobilien Vertrieb sind Innenprovisionen schon fast die Regel....Doll;0
Landolf Ladig spricht: Heil Höcke!;1
"Da braucht der"" kleine"" Mann sich ja kaum umstellen. Von den paar Euro die er heute über hat nach der Miete ++ , ist kein Auto drin , von Urlaubsflügen ganz zu schweigen. Sparbirnen sind schon in den Lampen und doch spart man nichts , weil der Strom immer teurer wird. Fazit : Die es sich leisten können , werden einen Dreck tun , es wird weiter geflogen um sich ein paar Schuhe in Mailand zu kaufen . Es wird auf Kreuzfahrtschiffen durch die Weltmeere gejuckelt, natürlich mit hin und rück Flug . Die Grundstücke und Villen werden weiterhin beleuchtet ,egal was es kostet ( Gestern noch so erzählt bekommen ) Der V10 wird nicht abgeschafft ,die Jacht muss auch betankt werden .";0
Furz quer - musste raus...https://t.co/u8bUtMPXvc;0
Wieso? Fühlen Sie sich etwa angesprochen oder benannt?;0
Daraus provokant Faschismus zu drehen finde ich persönlich Schon recht dreist;0
Had to share this one🤣🤣👍👍    die Amis sind eben und waren es schon immer saublöd👍👍  wenn interessiert schon solche Hohlbirnen ala Kardashians🤔🤔 https://t.co/ECgcJBC9J2;1
Die realitätsflüchtende Lügnerin und der kleine, braune Anstreicher, der schon immer mal einen 7er BMW auf Kosten anderer fahren wollte.????  entlarvt die AfD-Politbonzen #AfDrausausdenParlamenten https://t.co/cvQ37xDyBI;1
Ich warte als Prio 3 - Gruppe seit Wochen auch einen Impf-Termin und bekomme keinen. Um mich rum, Jugendliche, junge gesunde Menschen, die mit einem Zettel „ich bringe Opa Einkäufe“ sofort geimpft werden. Ich kotze ab…;0
Stumm habe ich sie seit ner Weile. Mach ich bei den Realitätsverweigerern meist relativ schnell, dann kann ich antworten wenn ich Nerven dafür habe und den Rest der Zeit sollen sie meinetwegen ins Nichts brüllen;0
Welche Geschichtsbücher ?? Ich kann in all deinen dummen , substanzlosen Tweets nicht einen Verweis enddecken. Gib es auf. Du hast dich schon Lächerlich genug gemacht.<U+0001F602><U+0001F602><U+0001F602><U+0001F602>;1
Vielleicht, um den Grünen zu signalisieren, dass Schwarz-Grün auch aus diesem Grund untragbar ist? Ich wähle nicht Grün, um am Ende Merz&amp Maaßen zu bekommen!;0
MMNews: Hartz IV und Spaß dabei: Im Internet kursiert ein Video eines mutmaßlichen Clan-Mitglieds, das sich über das Jobcenter lustig macht. Voller Stolz zeigt er Auto samt Inhalt - gearbeitet hat er offenbar nicht dafür... Read more... https://t.co/WCYOKYSZAV;1
Bravo.....meine Worte. Es steigt beim Spender der Blutdruck und manche schwitzen stark was bei einer normalen OP auf starke Schmerzen hinweist..... sie werden fest geschnallt weil sie Regung zeigen..... tot ist anders !;0
Ihre Familie wird seit Jahrzehnten durch Sozialhilfe alimentiert...Ihr Vater hat noch keine Minute in Deutschland gearbeitet..Sie wurde als Quotenmigrantin durch die SPD =IPD in Amt und Würden gespült..wird von Länderfinanzausgleich bezahlt und betreibt seit Jahren übelste Hetze;1
...Blödsinn...;0
Frag mal ob die einen eigenen Bus haben. <U+0001F609><U+0001F44D>;0
1a. Weil du jetzt gesund bist, bedeutet das nicht, dass das auch auf ewig so bleibt1b. Um auch deine Mitmenschen zu schützen (Ich weiß, für Individualisten und Narzissten ist das schwer zu verstehen)2. Die Impfstoffe wurden von der EMA nicht notzugelassen!;0
So ein krankes Gedankengut sitzt im Bundestag... Die machen dann auch Corona Verleugnerdemos u beschweren sich, wir hätten keine Demokratie mehr... Vielleicht schalten die mal ihr - anatomisch - eigentlich vorhandenes Gehirn an #FCKNZS #fckafd #COVIDIOTS #noafd https://t.co/j83PQCNevW;1
oh super sie haben drei gute von ca 100 zielen, erstmal die gelbe weste anziehen bevors raus geht;0
Dann werden die Maklergebühren eben auf den Verkaufspreis aufgeschlagen.;0
les mal dein eigenen Müll. Willst du mich hier beleidigen? Ich muss vor diesen Psychopathen auf ihren 100ps Motorrad Waffen um mein leben fürchten als Radfahrer. Wenn die mich so terrorisieren dürfen, dann will ich deren Organe im Gegenzug für meine fassungslose Toleranz;0
Ja. Sollte man trotzdem so nicht stehen lassen.;1
Jetzt der dauerkriminelle #Bachmann bei #Pegida. Startet mit irgend etwas um staatfinanzierter Antifa. Behauptet, dass in Berlin Grüne in erster Front standen, was natürlich eine infame Lüge ist. Aber mehr als Lüge kennt man von dem Verbrecher nicht. #dd0304 #fckPegida;1
Flinten Uschi nein danke die nächste EU Wahl nein danke. Diesmal meine Lieben EU-Politiker habt ihr eure Maske fallen lassen und deshalb werde ich nie wieder zu einer EU-Wahl gehen danke dafür;1
Hier eine dritte Konstellation: wen würdet Ihr als die größte Lachnummer auf Twitter bezeichnen?;0
"Man kann natürlich immerzu dieselbe Sau durchs Dorf treiben. Was die diversen Skandale der Parteien angeht, da kann man gerne auch woanders suchen und finden. Die Ära Kohl lässt grüßen oder auch die Amigo Affäre. Das Hunderte Millionen verschoben wurden, stimmt so nicht unbedingt. Die ""Realität"" ist eine etwas andere. Man sollte evtl. auch mal zur Kenntnis nehmen, dass kaum noch ""SED/PDS"" Funktionäre mitmischen. Das ist genauso abwegig wie der SPD immer noch Hartz IV vorgehalten wird, obwohl nur noch vereinzelt Politiker dort existieren, die mitgemischt haben. Außerdem lehnen die Linken Parteispenden ab, ebenso stimmen sie (wie auch die Grünen) gegen Diätenerhöhungen und spenden diese. Fragt sich nur wie das zusammenpasst mit der Mär der nimmersatten SED Nachfolgepartei. https://www.mdr.de/zeitreise/sed-vermoegen-100.html";1
Super, solche Follower wünscht sich Boris.;0
Moin zusammen <U+0001F44B><U+0001F44B><U+0001F44B> |LBR| Noch zweimal schlafen, dann ist auch schon 2019.;0
Auf euch ist auch Verlass wie auf die deutsche Bahn, ihr verdammten Penetrations-UNFÄLLE! |LBR| da will man EINMAL dicke Brüste haben zum zählen.;1
Genialer Trick. #Grüne können nicht nur Wirtschaft und Sicherheit nicht.   Aber hoffen auf Wähler aus dem Kreis der Arbeitslosen. Nur logisch, dass sie viele neue Arbeitslose möchten!  #futschi   #Gehirnwäsche   https://t.co/iE3LlTQoqJ;0
Während des Studiums wollten wir das auch und haben nächtelang diskutiert (mit billigen Rotwein!), aber niemand hat das ernst genommen! - Heute bekommen diese naiven Kinder mit ihren unausgegorenem Ideen SOLCH Forum!;1
Ob Jesus für das oder jenes Starb ist doch wohl Scheißegal , wir leben im hier und jetzt und sollten versuchen ein vernümftiges Leben auf zu bauen ein gerechtes wo alle Menschen gleich sind .;1
Geht um Entrechtung und Zerstörung der Familie. |LBR| Immer mit dem gleichem kulturmarxistischen Moralglasperlenspiel. |LBR| Insbesondere Frauen fallen meist strunzblöd darauf herein, da sie meinen davon zu profitieren.;1
Seit mehr als einer Woche terrorisieren Linksextreme jede Nacht Berlin. Aber hey: alles nur aufgebauscht, Schwesig. https://t.co/Tg3QFV2ICx;0
Zeigt, 1) was für ein fieses Chamäleon #COVID19 ist, 2) wie oft und leicht Fehldiagnosen (bei dieser und anderen Erkrankungen) gestellt werden, 3) wie besserwisserisch wissenschaftsfixierte Ärzte kommentieren (= denken) können. Danke, https://t.co/NFrv2ErUGG;0
Freue mich, dass es inzwischen Balken für FW und Partei gibt, aber ÖDP und Tierschutzpartei sind auch im Europaparlament vertreten und hätten auch Balken verdient. https://t.co/kR8qd6qczT;0
"""tut er mir dann nicht wirklich leid""..... Widerwärtig, einfach nur widerwärtig. Mit deiner Reply bestätigst du meine Aussage in meinem Tweet.";1
Danke.🙏;1
2/2  Hauptbahnhof das bunte Fest des Fastenbrechens zum Ende des Ramadan, indem sie fröhlich 'Allahu Akbar' riefen. Die Feierlichkeiten wurden durch unsägliche Polizeigewalt rasch beendet. Einer der verhafteten Muslim*X musste sogar ein Messer zur Selbstverteidigung mitführen.💩💩;1
Du verstehst schon das das Chart 1,6 pro 1 Million anzeigt, also praktisch 0,00000016 % ?Warum macht ihr Querdenker nur alle so einen dummen Eindruck?;1
Hasi..Wenn dir diese Land nicht passt. Dann geh..Kein Verlust für Deutschland;0
Oh, danke für den Hinweis! Die Quelle war da irgendwie missverständlich. Ich finde den Artikel aber gerade auch nicht mehr. <U+0001F914>;0
Seit gestern verdichten sich die Meldungen, dass der #HambacherForst geräumt und gerodet werden soll. Solidarisiert Euch gegen Bullengewalt und Energiemultis! !;1
Erschreckend zu sehen, dass der Rückhalt aus der Politik bei euch Polizisten genauso schwach ist wie bei uns Lehrern.;0
Auch wenn der #Merz jetzt nicht gewählt wurde. Können wir bitte weiter darauf hin weisen, dass der zu viel Einfluss hat? #fckCdu #fckCapitalism;1
"aber finde tatsächlich interessant, dass einer der wenigen accounts der mit diesem ""blog"" interagiert genau dieser widerliche hundesohn ist.";1
fühlen sie sich doch nicht gleich angegriffen. 😉 ...ich bin da völlig bei dir, dass die Prüfung/Kontrolle sehr ungleich gestaltet wurde. Dennoch ist Herr Preetz oder allg. Der Sport der wer falsche AP! Wer stellt denn die Maßnahmen vor/um? Das die Lobby im Gesundheitswesen so schwach gestaltet sind kann nur im jeweilige(n) Bundes-, Land-, Stadt - oder auch Kommunen gelöst werden.;1
hab bis heute auch nicht verstanden, warum z. B. Zuschauerinnen und Zuschauer weniger respektvoll sein soll. Da wird die Frau sogar als erstes genannt.;1
https://t.co/cs5KoavBp8 NRW Lusche ihr seid scheiße nein du bist es!Ein Freund aller Schwulen Spahnferkels. thx;1
Vollkommener Blödsinn!;1
Oder Hasi du bleibst hier;0
"Das Thema der Sendung: ""Heimat Deutschland - nur für Deutsche oder offen für alle?""- wier bitteschön soll das gehen ohne die Frage nach der Herkunft. Wie am Sendungsverlauf zu erkennen ist schwebte diese Frage über allem. Daher meine Frage, der man sicherlich gerne routiniert ausweicht.";0
Die Bäerbock und die Merkel, auch die Will in einen Sack rein und draufhauen triffst du immer den richtigen, langsam verliere ich den Glauben an die Frauen.;1
Europa ist geistig nicht in der Lage auf einen vernümftigen Konzens zu kommen;1
"Die Polizei rät: |LBR| Wütende Männer lieber nur in den Arm nehmen, wenn sie weiß sind; ansonsten besser eine Armlänge Abstand.";1
Was hat das mit Herrn Reitschuster zu tun?;0
Sagte der dumme Querdenker-Hildmann-Anhänger-Nazi-Trottel, der als Kind immer auf seinem Kopf gefallen ist und tragende Schäden davon getragen hat?????? Geh woanders spielen, hier mag dich keiner!;1
"Wir sollten erst einmal klären, was ein Migrant ist! Ich bin ein Migrant, wenn ich in ein bestehendes System einwandere. Sobald ich bereit bin die Grundwerte und Kultur anzunehmen, werde ich ein Teil dieser Kultur (ich muss bereit sein, viele Wurzeln zurück zulassen und nur diese mitzunehmen, die mir eine neue Verwurzelung ermöglichen). Wenn ich nicht dazu bereit bin, dann wird ein ""Ankommen"" niemals gelingen!";0
Jetzt kommt ja die Bundesnotbremse. ?? Das Versagen der Politik ist völlig unfassbar. Ich hätte das niemals für möglich gehalten. Niemals. Kein einziger Spitzenpolitiker in diesem Land taugt was. Nicht einer. Alles Blender und Nichtsnutze. UNFASSBAR;1
 Na dann mal los, was hält Sie auf?;0
Man kennt ihn nur weil es in den Medien mehr gepusht wird;0
Aber das ist doch genau der Punkt. Solange die Entkopplung nur relativ bleibt, ist nichts gewonnen und unbegrenztes Wachstum ist nicht im ressourcenbegrenzten Raum möglich. Nie was anderes behauptet.;0
Heiko Schrangs Wahlempfehlung zur EU-Wahl https://t.co/x7WuQch9Hf;0
Diskrminalisirung Gegen Menschenhändler Ist Ein Muss Deutscher dummshit NaZi bulle;1
Das war Ferdinand Porsche, kleiner Schlaukopf ??;0
